# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: E:\nutcloud\data\fudan\FPGA\Processor_pj\fibonacci\fibonacci.csv
# Generated on: Sun Dec 20 23:35:28 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HSMC_RX_D_P[12],Unknown,PIN_N25,6,B6_N2,,LVDS,,,,HSMC_RX_D_N[12],
HSMC_RX_D_P[11],Unknown,PIN_L21,6,B6_N0,,LVDS,,,,HSMC_RX_D_N[11],
HSMC_RX_D_P[10],Unknown,PIN_U25,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[10],
HSMC_RX_D_P[9],Unknown,PIN_T25,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[9],
HSMC_RX_D_P[8],Unknown,PIN_R25,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[8],
HSMC_RX_D_P[7],Unknown,PIN_M25,6,B6_N2,,LVDS,,,,HSMC_RX_D_N[7],
HSMC_RX_D_P[6],Unknown,PIN_L23,6,B6_N1,,LVDS,,,,HSMC_RX_D_N[6],
HSMC_RX_D_P[5],Unknown,PIN_K25,6,B6_N1,,LVDS,,,,HSMC_RX_D_N[5],
HSMC_RX_D_P[4],Unknown,PIN_H25,6,B6_N1,,LVDS,,,,HSMC_RX_D_N[4],
HSMC_RX_D_P[3],Unknown,PIN_G25,6,B6_N0,,LVDS,,,,HSMC_RX_D_N[3],
HSMC_RX_D_P[2],Unknown,PIN_F26,6,B6_N1,,LVDS,,,,HSMC_RX_D_N[2],
HSMC_RX_D_P[1],Unknown,PIN_D26,6,B6_N0,,LVDS,,,,HSMC_RX_D_N[1],
HSMC_RX_D_P[0],Unknown,PIN_F24,6,B6_N0,,LVDS,,,,HSMC_RX_D_N[0],
HSMC_TX_D_P[16],Unknown,PIN_U22,5,B5_N0,,LVDS,,,,HSMC_TX_D_N[16],
HSMC_TX_D_P[15],Unknown,PIN_V27,5,B5_N1,,LVDS,,,,HSMC_TX_D_N[15],
HSMC_TX_D_P[14],Unknown,PIN_U27,5,B5_N0,,LVDS,,,,HSMC_TX_D_N[14],
HSMC_TX_D_P[13],Unknown,PIN_R27,5,B5_N0,,LVDS,,,,HSMC_TX_D_N[13],
HSMC_TX_D_P[12],Unknown,PIN_V25,5,B5_N1,,LVDS,,,,HSMC_TX_D_N[12],
HSMC_TX_D_P[11],Unknown,PIN_L27,6,B6_N2,,LVDS,,,,HSMC_TX_D_N[11],
HSMC_TX_D_P[10],Unknown,PIN_J25,6,B6_N1,,LVDS,,,,HSMC_TX_D_N[10],
HSMC_TX_D_P[9],Unknown,PIN_P27,6,B6_N2,,LVDS,,,,HSMC_TX_D_N[9],
HSMC_TX_D_P[8],Unknown,PIN_J23,6,B6_N0,,LVDS,,,,HSMC_TX_D_N[8],
HSMC_TX_D_P[7],Unknown,PIN_H23,6,B6_N0,,LVDS,,,,HSMC_TX_D_N[7],
HSMC_TX_D_P[6],Unknown,PIN_K21,6,B6_N0,,LVDS,,,,HSMC_TX_D_N[6],
HSMC_TX_D_P[5],Unknown,PIN_M27,6,B6_N2,,LVDS,,,,HSMC_TX_D_N[5],
HSMC_TX_D_P[4],Unknown,PIN_K27,6,B6_N1,,LVDS,,,,HSMC_TX_D_N[4],
HSMC_TX_D_P[3],Unknown,PIN_G27,6,B6_N1,,LVDS,,,,HSMC_TX_D_N[3],
HSMC_TX_D_P[2],Unknown,PIN_F27,6,B6_N1,,LVDS,,,,HSMC_TX_D_N[2],
HSMC_TX_D_P[1],Unknown,PIN_E27,6,B6_N1,,LVDS,,,,HSMC_TX_D_N[1],
HSMC_TX_D_P[0],Unknown,PIN_D27,6,B6_N0,,LVDS,,,,HSMC_TX_D_N[0],
I2C_SCLK,Unknown,PIN_B7,8,B8_N1,,3.3-V LVTTL,,,,,
I2C_SDAT,Unknown,PIN_A8,8,B8_N1,,3.3-V LVTTL,,,,,
IRDA_RXD,Unknown,PIN_Y15,3,B3_N0,,3.3-V LVTTL,,,,,
KEY[3],Unknown,PIN_R24,5,B5_N0,,2.5 V,,,,,
KEY[2],Unknown,PIN_N21,6,B6_N2,,2.5 V,,,,,
KEY[1],Unknown,PIN_M21,6,B6_N1,,2.5 V,,,,,
LCD_BLON,Unknown,PIN_L6,1,B1_N2,,3.3-V LVTTL,,,,,
LCD_DATA[7],Unknown,PIN_M5,1,B1_N2,,3.3-V LVTTL,,,,,
LCD_DATA[6],Unknown,PIN_M3,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_DATA[5],Unknown,PIN_K2,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_DATA[4],Unknown,PIN_K1,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_DATA[3],Unknown,PIN_K7,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_DATA[2],Unknown,PIN_L2,1,B1_N2,,3.3-V LVTTL,,,,,
LCD_DATA[1],Unknown,PIN_L1,1,B1_N2,,3.3-V LVTTL,,,,,
LCD_DATA[0],Unknown,PIN_L3,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_EN,Unknown,PIN_L4,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_ON,Unknown,PIN_L5,1,B1_N1,,3.3-V LVTTL,,,,,
LCD_RS,Unknown,PIN_M2,1,B1_N2,,3.3-V LVTTL,,,,,
LCD_RW,Unknown,PIN_M1,1,B1_N2,,3.3-V LVTTL,,,,,
LEDG[8],Unknown,PIN_F17,7,B7_N2,,2.5 V,,,,,
LEDG[7],Unknown,PIN_G21,7,B7_N1,,2.5 V,,,,,
LEDG[6],Unknown,PIN_G22,7,B7_N2,,2.5 V,,,,,
LEDG[5],Unknown,PIN_G20,7,B7_N1,,2.5 V,,,,,
LEDG[4],Unknown,PIN_H21,7,B7_N2,,2.5 V,,,,,
LEDG[3],Unknown,PIN_E24,7,B7_N1,,2.5 V,,,,,
LEDG[2],Unknown,PIN_E25,7,B7_N1,,2.5 V,,,,,
LEDG[1],Unknown,PIN_E22,7,B7_N0,,2.5 V,,,,,
LEDG[0],Unknown,PIN_E21,7,B7_N0,,2.5 V,,,,,
LEDR17,Unknown,PIN_H15,7,B7_N2,,2.5 V,,,,,
LEDR16,Unknown,PIN_G16,7,B7_N2,,2.5 V,,,,,
LEDR15,Unknown,PIN_G15,7,B7_N2,,2.5 V,,,,,
LEDR14,Unknown,PIN_F15,7,B7_N2,,2.5 V,,,,,
LEDR13,Unknown,PIN_H17,7,B7_N2,,2.5 V,,,,,
LEDR12,Unknown,PIN_J16,7,B7_N2,,2.5 V,,,,,
LEDR11,Unknown,PIN_H16,7,B7_N2,,2.5 V,,,,,
LEDR10,Unknown,PIN_J15,7,B7_N2,,2.5 V,,,,,
LEDR9,Unknown,PIN_G17,7,B7_N1,,2.5 V,,,,,
LEDR8,Unknown,PIN_J17,7,B7_N2,,2.5 V,,,,,
LEDR7,Unknown,PIN_H19,7,B7_N2,,2.5 V,,,,,
LEDR6,Unknown,PIN_J19,7,B7_N2,,2.5 V,,,,,
LEDR5,Unknown,PIN_E18,7,B7_N1,,2.5 V,,,,,
LEDR4,Unknown,PIN_F18,7,B7_N1,,2.5 V,,,,,
LEDR3,Unknown,PIN_F21,7,B7_N0,,2.5 V,,,,,
LEDR2,Unknown,PIN_E19,7,B7_N0,,2.5 V,,,,,
LEDR1,Unknown,PIN_F19,7,B7_N0,,2.5 V,,,,,
LEDR0,Unknown,PIN_G19,7,B7_N2,,2.5 V,,,,,
OTG_ADDR[1],Unknown,PIN_C3,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_ADDR[0],Unknown,PIN_H7,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_CS_N,Unknown,PIN_A3,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_DACK_N[1],Unknown,PIN_D4,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_DACK_N[0],Unknown,PIN_C4,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_DATA[15],Unknown,PIN_G4,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[14],Unknown,PIN_F3,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[13],Unknown,PIN_F1,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[12],Unknown,PIN_G3,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[11],Unknown,PIN_G2,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[10],Unknown,PIN_G1,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[9],Unknown,PIN_H4,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[8],Unknown,PIN_H3,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[7],Unknown,PIN_H6,1,B1_N0,,3.3-V LVTTL,,,,,
OTG_DATA[6],Unknown,PIN_J7,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[5],Unknown,PIN_J3,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[4],Unknown,PIN_J4,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[3],Unknown,PIN_K3,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[2],Unknown,PIN_J5,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[1],Unknown,PIN_K4,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DATA[0],Unknown,PIN_J6,1,B1_N1,,3.3-V LVTTL,,,,,
OTG_DREQ[1],Unknown,PIN_B4,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_DREQ[0],Unknown,PIN_J1,1,B1_N2,,3.3-V LVTTL,,,,,
OTG_FSPEED,Unknown,PIN_C6,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_INT[1],Unknown,PIN_D5,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_INT[0],Unknown,PIN_A6,8,B8_N1,,3.3-V LVTTL,,,,,
OTG_LSPEED,Unknown,PIN_B6,8,B8_N1,,3.3-V LVTTL,,,,,
OTG_RD_N,Unknown,PIN_B3,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_RST_N,Unknown,PIN_C5,8,B8_N2,,3.3-V LVTTL,,,,,
OTG_WR_N,Unknown,PIN_A4,8,B8_N2,,3.3-V LVTTL,,,,,
PS2_CLK,Unknown,PIN_G6,1,B1_N0,,3.3-V LVTTL,,,,,
PS2_CLK2,Unknown,PIN_G5,1,B1_N0,,3.3-V LVTTL,,,,,
PS2_DAT,Unknown,PIN_H5,1,B1_N1,,3.3-V LVTTL,,,,,
PS2_DAT2,Unknown,PIN_F5,1,B1_N0,,3.3-V LVTTL,,,,,
SD_CLK,Unknown,PIN_AE13,3,B3_N0,,3.3-V LVTTL,,,,,
SD_CMD,Unknown,PIN_AD14,3,B3_N0,,3.3-V LVTTL,,,,,
SD_DAT[3],Unknown,PIN_AC14,3,B3_N0,,3.3-V LVTTL,,,,,
SD_DAT[2],Unknown,PIN_AB14,3,B3_N0,,3.3-V LVTTL,,,,,
SD_DAT[1],Unknown,PIN_AF13,3,B3_N0,,3.3-V LVTTL,,,,,
SD_DAT[0],Unknown,PIN_AE14,3,B3_N0,,3.3-V LVTTL,,,,,
SD_WP_N,Unknown,PIN_AF14,3,B3_N0,,3.3-V LVTTL,,,,,
SMA_CLKIN,Unknown,PIN_AH14,3,B3_N0,,3.3-V LVTTL,,,,,
SMA_CLKOUT,Unknown,PIN_AE23,4,B4_N0,,3.3-V LVTTL,,,,,
SRAM_ADDR[19],Unknown,PIN_T8,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[18],Unknown,PIN_AB8,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[17],Unknown,PIN_AB9,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[16],Unknown,PIN_AC11,3,B3_N0,,3.3-V LVTTL,,,,,
SRAM_ADDR[15],Unknown,PIN_AB11,3,B3_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[14],Unknown,PIN_AA4,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[13],Unknown,PIN_AC3,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[12],Unknown,PIN_AB4,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[11],Unknown,PIN_AD3,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[10],Unknown,PIN_AF2,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[9],Unknown,PIN_T7,2,B2_N0,,3.3-V LVTTL,,,,,
SRAM_ADDR[8],Unknown,PIN_AF5,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[7],Unknown,PIN_AC5,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[6],Unknown,PIN_AB5,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[5],Unknown,PIN_AE6,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[4],Unknown,PIN_AB6,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[3],Unknown,PIN_AC7,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[2],Unknown,PIN_AE7,3,B3_N1,,3.3-V LVTTL,,,,,
SRAM_ADDR[1],Unknown,PIN_AD7,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_ADDR[0],Unknown,PIN_AB7,3,B3_N1,,3.3-V LVTTL,,,,,
SRAM_CE_N,Unknown,PIN_AF8,3,B3_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[15],Unknown,PIN_AG3,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[14],Unknown,PIN_AF3,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[13],Unknown,PIN_AE4,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[12],Unknown,PIN_AE3,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[11],Unknown,PIN_AE1,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[10],Unknown,PIN_AE2,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[9],Unknown,PIN_AD2,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[8],Unknown,PIN_AD1,2,B2_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[7],Unknown,PIN_AF7,3,B3_N1,,3.3-V LVTTL,,,,,
SRAM_DQ[6],Unknown,PIN_AH6,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[5],Unknown,PIN_AG6,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[4],Unknown,PIN_AF6,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[3],Unknown,PIN_AH4,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[2],Unknown,PIN_AG4,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[1],Unknown,PIN_AF4,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_DQ[0],Unknown,PIN_AH3,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_BE_N[0],Unknown,PIN_AD4,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_OE_N,Unknown,PIN_AD5,3,B3_N2,,3.3-V LVTTL,,,,,
SRAM_BE_N[1],Unknown,PIN_AC4,2,B2_N2,,3.3-V LVTTL,,,,,
SRAM_WE_N,Unknown,PIN_AE8,3,B3_N1,,3.3-V LVTTL,,,,,
TD_DATA[7],Unknown,PIN_F7,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[6],Unknown,PIN_E7,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[5],Unknown,PIN_D6,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[4],Unknown,PIN_D7,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[3],Unknown,PIN_C7,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[2],Unknown,PIN_D8,8,B8_N2,,3.3-V LVTTL,,,,,
TD_DATA[1],Unknown,PIN_A7,8,B8_N1,,3.3-V LVTTL,,,,,
TD_DATA[0],Unknown,PIN_E8,8,B8_N2,,3.3-V LVTTL,,,,,
TD_HS,Unknown,PIN_E5,8,B8_N2,,3.3-V LVTTL,,,,,
TD_RESET_N,Unknown,PIN_G7,8,B8_N2,,3.3-V LVTTL,,,,,
TD_VS,Unknown,PIN_E4,8,B8_N2,,3.3-V LVTTL,,,,,
UART_CTS,Unknown,PIN_G14,8,B8_N0,,3.3-V LVTTL,,,,,
UART_RTS,Unknown,PIN_J13,8,B8_N0,,3.3-V LVTTL,,,,,
UART_RXD,Unknown,PIN_G12,8,B8_N1,,3.3-V LVTTL,,,,,
UART_TXD,Unknown,PIN_G9,8,B8_N2,,3.3-V LVTTL,,,,,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_BLANK_N,Unknown,PIN_F11,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_CLK,Unknown,PIN_A12,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,,3.3-V LVTTL,,,,,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,,3.3-V LVTTL,,,,,
VGA_HS,Unknown,PIN_G13,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,,3.3-V LVTTL,,,,,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_R[0],Unknown,PIN_E12,8,B8_N1,,3.3-V LVTTL,,,,,
VGA_SYNC_N,Unknown,PIN_C10,8,B8_N0,,3.3-V LVTTL,,,,,
VGA_VS,Unknown,PIN_C13,8,B8_N0,,3.3-V LVTTL,,,,,
HSMC_CLKIN_N1,Unknown,PIN_J28,6,B6_N2,,LVDS,,,,HSMC_CLKIN_P1,
HSMC_CLKIN_N2,Unknown,PIN_Y28,5,B5_N0,,LVDS,,,,HSMC_CLKIN_P2,
HSMC_TX_D_N[0],Unknown,PIN_D28,6,B6_N0,,LVDS,,,,HSMC_TX_D_P[0],
HSMC_RX_D_N[0],Unknown,PIN_F25,6,B6_N0,,LVDS,,,,HSMC_RX_D_P[0],
HSMC_RX_D_N[1],Unknown,PIN_C27,6,B6_N0,,LVDS,,,,HSMC_RX_D_P[1],
HSMC_TX_D_N[1],Unknown,PIN_E28,6,B6_N1,,LVDS,,,,HSMC_TX_D_P[1],
HSMC_TX_D_N[2],Unknown,PIN_F28,6,B6_N1,,LVDS,,,,HSMC_TX_D_P[2],
HSMC_RX_D_N[2],Unknown,PIN_E26,6,B6_N1,,LVDS,,,,HSMC_RX_D_P[2],
HSMC_TX_D_N[3],Unknown,PIN_G28,6,B6_N1,,LVDS,,,,HSMC_TX_D_P[3],
HSMC_RX_D_N[3],Unknown,PIN_G26,6,B6_N0,,LVDS,,,,HSMC_RX_D_P[3],
HSMC_TX_D_N[4],Unknown,PIN_K28,6,B6_N1,,LVDS,,,,HSMC_TX_D_P[4],
HSMC_RX_D_N[4],Unknown,PIN_H26,6,B6_N1,,LVDS,,,,HSMC_RX_D_P[4],
HSMC_TX_D_N[5],Unknown,PIN_M28,6,B6_N2,,LVDS,,,,HSMC_TX_D_P[5],
HSMC_RX_D_N[5],Unknown,PIN_K26,6,B6_N1,,LVDS,,,,HSMC_RX_D_P[5],
HSMC_TX_D_N[6],Unknown,PIN_K22,6,B6_N0,,LVDS,,,,HSMC_TX_D_P[6],
HSMC_RX_D_N[6],Unknown,PIN_L24,6,B6_N2,,LVDS,,,,HSMC_RX_D_P[6],
HSMC_TX_D_N[7],Unknown,PIN_H24,6,B6_N0,,LVDS,,,,HSMC_TX_D_P[7],
HSMC_RX_D_N[7],Unknown,PIN_M26,6,B6_N2,,LVDS,,,,HSMC_RX_D_P[7],
HSMC_TX_D_N[8],Unknown,PIN_J24,6,B6_N0,,LVDS,,,,HSMC_TX_D_P[8],
HSMC_RX_D_N[8],Unknown,PIN_R26,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[8],
HSMC_TX_D_N[9],Unknown,PIN_P28,6,B6_N2,,LVDS,,,,HSMC_TX_D_P[9],
HSMC_RX_D_N[9],Unknown,PIN_T26,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[9],
HSMC_TX_D_N[10],Unknown,PIN_J26,6,B6_N1,,LVDS,,,,HSMC_TX_D_P[10],
HSMC_RX_D_N[10],Unknown,PIN_U26,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[10],
HSMC_TX_D_N[11],Unknown,PIN_L28,6,B6_N2,,LVDS,,,,HSMC_TX_D_P[11],
HSMC_RX_D_N[11],Unknown,PIN_L22,6,B6_N0,,LVDS,,,,HSMC_RX_D_P[11],
HSMC_TX_D_N[12],Unknown,PIN_V26,5,B5_N1,,LVDS,,,,HSMC_TX_D_P[12],
HSMC_RX_D_N[12],Unknown,PIN_N26,6,B6_N2,,LVDS,,,,HSMC_RX_D_P[12],
HSMC_TX_D_N[13],Unknown,PIN_R28,5,B5_N0,,LVDS,,,,HSMC_TX_D_P[13],
HSMC_RX_D_N[13],Unknown,PIN_P26,6,B6_N2,,LVDS,,,,HSMC_RX_D_P[13],
HSMC_TX_D_N[14],Unknown,PIN_U28,5,B5_N0,,LVDS,,,,HSMC_TX_D_P[14],
HSMC_RX_D_N[14],Unknown,PIN_R21,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[14],
HSMC_TX_D_N[15],Unknown,PIN_V28,5,B5_N1,,LVDS,,,,HSMC_TX_D_P[15],
HSMC_RX_D_N[15],Unknown,PIN_R23,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[15],
HSMC_TX_D_N[16],Unknown,PIN_V22,5,B5_N1,,LVDS,,,,HSMC_TX_D_P[16],
HSMC_RX_D_N[16],Unknown,PIN_T22,5,B5_N0,,LVDS,,,,HSMC_RX_D_P[16],
HSMC_CLKOUT_N2,Unknown,PIN_V24,5,B5_N1,,LVDS,,,,HSMC_CLKOUT_P2,
HSMC_CLKOUT_N1,Unknown,PIN_G24,6,B6_N0,,LVDS,,,,HSMC_CLKOUT_P1,
